FirstLast,Year,YearsPlayed,Gender,fuzz_ratio,fuzz_pratio,fuzz_tokensort,fuzz_tokenset,fuzz_wratio,tennis_yn,School_yn,SameName_yn,SameTennis_yn,Decade,prediction
Catherine Starr,2008,1,0,47.0,73.0,45.0,75.0,86.0,0.0,1.0,0.0,0.0,2000,1.0
Janet Kim,2009,4,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,2000,1.0
Christina Cutter,2009,3,0,61.0,62.0,61.0,61.0,61.0,0.0,0.0,0.0,0.0,2000,0.0
Ashley Miles,2009,2,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,2000,1.0
Lillian Nguyen,2009,3,0,20.0,21.0,23.0,23.0,31.0,0.0,0.0,0.0,0.0,2000,0.0
Jenna Ritz,2010,1,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2010,1.0
Jessica Rhee,2010,1,0,72.0,67.0,72.0,74.0,72.0,0.0,1.0,0.0,0.0,2010,0.0
Lauren Ritz,2011,1,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,2010,1.0
Lindsay Clark,2011,2,0,84.0,69.0,84.0,100.0,95.0,0.0,1.0,0.0,0.0,2010,1.0
Kim Szokol,2011,1,0,80.0,70.0,80.0,80.0,86.0,1.0,1.0,0.0,1.0,2010,1.0
Silia DeFilippis,2011,2,0,91.0,100.0,91.0,100.0,95.0,1.0,1.0,0.0,1.0,2010,1.0
Stevi Petrelli,2011,2,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2010,1.0
Blair Seideman,2012,2,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2010,1.0
Vicky Brook,2012,3,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2010,1.0
Steph Kent,2012,3,0,83.0,60.0,83.0,83.0,83.0,0.0,1.0,0.0,0.0,2010,0.0
Sarah Guzick,2013,2,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2010,1.0
Elizabeth Epstein,2013,4,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,2010,1.0
Amber Li,2014,3,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2010,1.0
Annie Sullivan,2014,4,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2010,1.0
Hanna Yu,2015,4,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,2010,1.0
Courtney Amos,2016,4,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,2010,1.0
Madeleine Hamilton,2016,4,0,28.0,27.0,28.0,28.0,34.0,0.0,0.0,0.0,0.0,2010,0.0
Sonal Shrivastava,2016,1,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,2010,1.0
Ree Ree Li,2016,4,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2010,1.0
Sherry Li,2016,3,0,72.0,78.0,72.0,100.0,86.0,0.0,1.0,0.0,0.0,2010,1.0
Opala Dhingra,2017,1,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,2010,1.0
