FirstLast,Last,First,MidInit,Year,YearsPlayed
Heath Friedman,Friedman,Heath,,1996,2
Tina Ansari,Ansari,Tina,,1997,1
Leah Boucher,Boucher,Leah,,1997,1
Clara Chun,Chun,Clara,,1997,2
Mary McLean,McLean,Mary,,1997,1
Katherine Rhee,Rhee,Katherine,,1997,3
Atara Stember,Stember,Atara,,1997,1
Wendy Chang,Chang,Wendy,,1998,1
Denitza Blagev,Blagev,Denitza,,1999,3
Somer Khanlarian,Khanlarian,Somer,,1999,3
Sara Naison-Phillips,Naison-Phillips,Sara,,1999,3
Maria Parad,Parad,Maria,,1999,2
Naomi Zeff,Zeff,Naomi,,1999,3
Christina Blodgett,Blodgett,Christina,,2000,3
Barbara Ellis,Ellis,Barbara,,2000,1
Jacklyn Fu,Fu,Jacklyn,,2000,3
Kirsten Gross,Gross,Kirsten,,2000,3
Ashlee Ferlito,Ferlito,Ashlee,,2001,3
Lauren Muehl,Muehl,Lauren,,2001,3
Cynthia Obsitnik,Obsitnik,Cynthia,,2001,3
Andrea Goldberg,Goldberg,Andrea,,2002,3
Bronson Oosterhuis,Oosterhuis,Bronson,,2002,3
Susan Hiniker,Hiniker,Susan,,2003,3
Elizabeth Kaufman,Kaufman,Elizabeth,,2003,3
Meagan Caldwell,Caldwell,Meagan,,2004,2
Ashley Martin,Martin,Ashley,,2004,3
Karlyn Martin,Martin,Karlyn,,2004,3
Rekha Natrajan,Natrajan,Rekha,,2004,2
Margaret Purcell,Purcell,Margaret,,2004,3
Betsy Shapiro,Shapiro,Betsy,,2004,1
Reshmi Srinath,Srinath,Reshmi,I.,2005,4
Stephanie White,White,Stephanie,P.,2005,4
Camilla Hsu,Hsu,Camilla,,2006,1
Juliette Vartikar,Vartikar,Juliette,M.,2006,3
Christine Alford,Alford,Christine,J.,2007,4
Aimee Kim,Kim,Aimee,S.,2007,3
Olivia Nix,Nix,Olivia,J.,2007,4
Rashmee Patil,Patil,Rashmee,,2007,3
Lindsey Dashiell,Dashiell,Lindsey,M.,2008,4
Catherine Starr,Starr,Catherine,E.,2008,1
Christina Cutter,Cutter,Christina,M.,2009,3
Karolina Grygierowska,Grygierowska,Karolina,,2009,2
Janet Kim,Kim,Janet,M.,2009,4
Ashley Miles,Miles,Ashley,D.,2009,2
Lillian Nguyen,Nguyen,Lillian,,2009,3
Lauren Ritz,Ritz,Lauren,A.,2011,1
