FirstLast,Criteria,FirstLast,Year,YearsPlayed,RosterLink,Hometown,HS,ClassYear,College,First,Gender,Last,MidInit,MidName,Name,RosterYear
Sangeeta Hingorani, Yale,Sangeeta Hingorani,1988,1,,,,,Yale University,Sangeeta,W,Hingorani,,,,
Marci Kanstoroom, Yale,Marci Kanstoroom,1988,2,,,,,Yale University,Marci,W,Kanstoroom,,,,
Molly Quest, Yale,Molly Quest,1988,3,,,,,Yale University,Molly,W,Quest,,,,
Elizabeth Solomon, Yale,Elizabeth Solomon,1988,1,,,,,Yale University,Elizabeth,W,Solomon,,,,
Laura Wheeler, Yale,Laura Wheeler,1988,2,,,,,Yale University,Laura,W,Wheeler,,,,
Lori Steinberg, Yale,Lori Steinberg,1989,1,,,,,Yale University,Lori,W,Steinberg,,,,
Davida Pines, Yale,Davida Pines,1989,1,,,,,Yale University,Davida,W,Pines,,,,
Jean Park, Yale,Jean Park,1989,2,,,,,Yale University,Jean,W,Park,,,,
Diana Lazarus, Yale,Diana Lazarus,1989,3,,,,,Yale University,Diana,W,Lazarus,,,,
Carolyn Hatcher, Yale,Carolyn Hatcher,1989,2,,,,,Yale University,Carolyn,W,Hatcher,,,,
Andrea Williams, Yale,Andrea Williams,1989,3,,,,,Yale University,Andrea,W,Williams,,,,
Elizabeth Chabner, Yale,Elizabeth Chabner,1989,2,,,,,Yale University,Elizabeth,W,Chabner,,,,
Jennifer Brown, Yale,Jennifer Brown,1989,3,,,,,Yale University,Jennifer,W,Brown,,,,
Elizabeth Baldwin, Yale,Elizabeth Baldwin,1989,3,,,,,Yale University,Elizabeth,W,Baldwin,,,,
Suzanne Irving, Yale,Suzanne Irving,1989,3,,,,,Yale University,Suzanne,W,Irving,,,,
Jennifer Mahoney, Yale,Jennifer Mahoney,1990,3,,,,,Yale University,Jennifer,W,Mahoney,,,,
Karen Salmon, Yale,Karen Salmon,1990,3,,,,,Yale University,Karen,W,Salmon,,,,
Nina Talbot, Yale,Nina Talbot,1990,2,,,,,Yale University,Nina,W,Talbot,,,,
Jamison Williams, Yale,Jamison Williams,1990,2,,,,,Yale University,Jamison,W,Williams,,,,
Marla Grossman, Yale,Marla Grossman,1990,3,,,,,Yale University,Marla,W,Grossman,,,,
Leslie Fahrenkopf, Yale,Leslie Fahrenkopf,1990,1,,,,,Yale University,Leslie,W,Fahrenkopf,,,,
Brett DiMambro, Yale,Brett DiMambro,1990,2,,,,,Yale University,Brett,W,DiMambro,,,,
Sherrod Blankner, Yale,Sherrod Blankner,1990,1,,,,,Yale University,Sherrod,W,Blankner,,,,
Gillian Thomas, Yale,Gillian Thomas,1990,1,,,,,Yale University,Gillian,W,Thomas,,,,
Diane Schwab, Yale,Diane Schwab,1990,2,,,,,Yale University,Diane,W,Schwab,,,,
Suzanne Yelen, Yale,Suzanne Yelen,1990,3,,,,,Yale University,Suzanne,W,Yelen,,,,
Lynn Rosenstrach, Yale,Lynn Rosenstrach,1991,3,,,,,Yale University,Lynn,W,Rosenstrach,,,,
Kim Ondreck, Yale,Kim Ondreck,1991,2,,,,,Yale University,Kim,W,Ondreck,,,,
Kathrin Linz, Yale,Kathrin Linz,1991,2,,,,,Yale University,Kathrin,W,Linz,,,,
Trish Farmer, Yale,Trish Farmer,1991,1,,,,,Yale University,Trish,W,Farmer,,,,
Ann Curzan, Yale,Ann Curzan,1991,1,,,,,Yale University,Ann,W,Curzan,,,,
Lisa Reagan, Yale,Lisa Reagan,1991,2,,,,,Yale University,Lisa,W,Reagan,,,,
Laura Flynn, Yale,Laura Flynn,1992,3,,,,,Yale University,Laura,W,Flynn,,,,
Sari Granat, Yale,Sari Granat,1992,3,,,,,Yale University,Sari,W,Granat,,,,
Amy Altschul, Yale,Amy Altschul,1992,3,,,,,Yale University,Amy,W,Altschul,,,,
Jamie Resnick, Yale,Jamie Resnick,1993,1,,,,,Yale University,Jamie,W,Resnick,,,,
