FirstLast,Criteria,FirstLast,Year,YearsPlayed,RosterLink,Hometown,HS,ClassYear,College,First,Gender,Last,MidInit,MidName,Name,RosterYear
Samuel Schoonmaker, Yale,Samuel Schoonmaker,1958,3,,,,,Yale University,Samuel,M,Schoonmaker,V.,,,
Newell Augur, Yale,Newell Augur,1958,2,,,,,Yale University,Newell,M,Augur,A., Jr,,
Harold Williamson, Yale,Harold Williamson,1958,1,,,,,Yale University,Harold,M,Williamson,F.,,,
Philip Ness, Yale,Philip Ness,1958,1,,,,,Yale University,Philip,M,Ness,W.,,,
Edward Bennett, Yale,Edward Bennett,1958,2,,,,,Yale University,Edward,M,Bennett,B.,,,
Edward Prince, Yale,Edward Prince,1959,3,,,,,Yale University,Edward,M,Prince,M.,,,
Peter Cox, Yale,Peter Cox,1959,1,,,,,Yale University,Peter,M,Cox,W.,,,
John Oettinger, Yale,John Oettinger,1959,1,,,,,Yale University,John,M,Oettinger,R.,,,
Jonathan Clark, Yale,Jonathan Clark,1959,3,,,,,Yale University,Jonathan,M,Clark,M.,,,
Maitland Jones, Yale,Maitland Jones,1959,1,,,,,Yale University,Maitland,M,Jones,,,,
Robert Laird, Yale,Robert Laird,1959,1,,,,,Yale University,Robert,M,Laird,W., Jr,,
Alexander Wiener, Yale,Alexander Wiener,1959,3,,,,,Yale University,Alexander,M,Wiener,L., Jr,,
Thomas Freiberg, Yale,Thomas Freiberg,1959,3,,,,,Yale University,Thomas,M,Freiberg,A., Jr,,
Samuel Howe, Yale,Samuel Howe,1960,3,,,,,Yale University,Samuel,M,Howe,P.,3rd,,
Donald Dell, Yale,Donald Dell,1960,3,,,,,Yale University,Donald,M,Dell,L.,,,
Eugene Scott, Yale,Eugene Scott,1960,3,,,,,Yale University,Eugene,M,Scott,L.,,,
Richard Wallace, Yale,Richard Wallace,1960,3,,,,,Yale University,Richard,M,Wallace,C.,,,
Samuel Heyman, Yale,Samuel Heyman,1960,1,,,,,Yale University,Samuel,M,Heyman,J.,,,
James Ervin, Yale,James Ervin,1960,1,,,,,Yale University,James,M,Ervin,C.,,,
Gifford Hopkins, Yale,Gifford Hopkins,1960,1,,,,,Yale University,Gifford,M,Hopkins,D.,,,
G. Whitney Biggs, Yale,G. Whitney Biggs,1960,3,,,,,Yale University,G. Whitney,M,Biggs,,,,
Philip Spalding, Yale,Philip Spalding,1961,1,,,,,Yale University,Philip,M,Spalding,,,,
Robert Killebrew, Yale,Robert Killebrew,1961,1,,,,,Yale University,Robert,M,Killebrew,,,,
John Gunnin, Yale,John Gunnin,1961,1,,,,,Yale University,John,M,Gunnin,,,,
Steven Anderson, Yale,Steven Anderson,1961,2,,,,,Yale University,Steven,M,Anderson,T.,,,
Theodore Joyner, Yale,Theodore Joyner,1961,2,,,,,Yale University,Theodore,M,Joyner,C.,,,
Tristam Brooks, Yale,Tristam Brooks,1962,3,,,,,Yale University,Tristam,M,Brooks,A.,,,
Sidney Wood, Yale,Sidney Wood,1962,1,,,,,Yale University,Sidney,M,Wood,B.B.,,,
Ogden Phipps, Yale,Ogden Phipps,1962,1,,,,,Yale University,Ogden,M,Phipps,,,,
Neal Ormond, Yale,Neal Ormond,1962,1,,,,,Yale University,Neal,M,Ormond,,,,
Stuart Ludlum, Yale,Stuart Ludlum,1962,3,,,,,Yale University,Stuart,M,Ludlum,D.,,,
Thomas Hartch, Yale,Thomas Hartch,1963,1,,,,,Yale University,Thomas,M,Hartch,F.,,,
Arthur Griffith, Yale,Arthur Griffith,1963,1,,,,,Yale University,Arthur,M,Griffith,W.,,,
Steven Mackinnon, Yale,Steven Mackinnon,1963,3,,,,,Yale University,Steven,M,Mackinnon,R.,,,
Robert Hetherington, Yale,Robert Hetherington,1963,3,,,,,Yale University,Robert,M,Hetherington,G.,,,
Ralph Howe, Yale,Ralph Howe,1963,3,,,,,Yale University,Ralph,M,Howe,E.,,,
Charles Frank, Yale,Charles Frank,1963,3,,,,,Yale University,Charles,M,Frank,A.,,,
Michael Neely, Yale,Michael Neely,1963,3,,,,,Yale University,Michael,M,Neely,G.,,,
Carroll Parry, Yale,Carroll Parry,1963,3,,,,,Yale University,Carroll,M,Parry,D.,3rd,,
William Taylor, Yale,William Taylor,1964,1,,,,,Yale University,William,M,Taylor,H.,3rd,,
David Brooks, Yale,David Brooks,1964,2,,,,,Yale University,David,M,Brooks,M.,,,
Robert Archer, Yale,Robert Archer,1964,3,,,,,Yale University,Robert,M,Archer,A.,,,
William Reynolds, Yale,William Reynolds,1964,2,,,,,Yale University,William,M,Reynolds,B.,,,
Donald Christianson, Yale,Donald Christianson,1964,1,,,,,Yale University,Donald,M,Christianson,R.,,,
William Morse, Yale,William Morse,1964,2,,,,,Yale University,William,M,Morse,M.,,,
