FirstLast,Criteria,FirstLast,Year,YearsPlayed,RosterLink,Hometown,HS,ClassYear,College,First,Gender,Last,MidInit,MidName,Name,RosterYear
C. Warren Haas, Cornell,C. Warren Haas,1953,3,,"Reading, Pa.",Reading HS,['Sophomore' 'Junior' 'Senior'],Cornell University,C.,M,Haas,Warren, Warren,C. Warren Haas,"[""1950-51 Men's Tennis Roster"" ""1951-52 Men's Tennis Roster""
 ""1952-53 Men's Tennis Roster""]"
Charles Knight, Cornell,Charles Knight,1957,3,,"Winnetka, Ill.",New Trier,['Sophomore' 'Junior' 'Senior'],Cornell University,Charles,M,Knight,F.,,Charles F. Knight,"[""1954-55 Men's Tennis Roster"" ""1955-56 Men's Tennis Roster""
 ""1956-57 Men's Tennis Roster""]"
Charles Koepke, Cornell,Charles Koepke,1966,2,,"Pittsburgh, Pa.",Mt. Lebanon HS,['Sophomore' 'Junior'],Cornell University,Charles,M,Koepke,,,Charles Koepke,"[""1964-65 Men's Tennis Roster"" ""1965-66 Men's Tennis Roster""]"
Charles Bernstein, Cornell,Charles Bernstein,1956,3,,"Woodmere, NY",Woodmere HS,['Sophomore' 'Junior' 'Senior'],Cornell University,Charles,M,Bernstein,L.,,Charles L. Bernstein,"[""1953-1954 Men's Tennis Roster"" ""1954-55 Men's Tennis Roster""
 ""1955-56 Men's Tennis Roster""]"
Charles Thorp, Cornell,Charles Thorp,1960,1,,"Pittsburgh, Pa.",Shady Side A.,['Sophomore'],Cornell University,Charles,M,Thorp,M.,,Charles M. Thorp,"[""1959-60 Men's Tennis Roster""]"
Charles Quay, Cornell,Charles Quay,2013,4,,"Seattle, Wash.",Seattle Prep,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Charles,M,Quay,,,Charles Quay,"[""2009-10 Men's Tennis Roster"" ""2010-11 Men's Tennis Roster""
 ""2011-12 Men's Tennis Roster"" ""2012-13 Men's Tennis Roster""]"
Charles Henderson, Cornell,Charles Henderson,1964,1,,"Ithaca, NY",Ithaca HS,['Senior'],Cornell University,Charles,M,Henderson,R.,,Charles R. Henderson,"[""1963-64 Men's Tennis Roster""]"
Charn Bak, Cornell,Charn Bak,2005,2,https://cornellbigred.com/sports/mens-tennis/roster/charn-bak/32235,"Beaverton, Ore.",Beaverton HS,['Freshman' 'Sophomore'],Cornell University,Charn,M,Bak,,,Charn Bak,"[""2003-04 Men's Tennis Roster"" ""2004-05 Men's Tennis Roster""]"
Chris Lewis, Cornell,Chris Lewis,2002,1,,"Seattle, Wash.",Bush HS,['Senior'],Cornell University,Chris,M,Lewis,,,Chris Lewis,"[""2001-02 Men's Tennis Roster""]"
Chris Song, Cornell,Chris Song,2013,3,https://cornellbigred.com/sports/mens-tennis/roster/chris-song/31444,"Novi, Mich.",Greenhills School,['Freshman' 'Sophomore' 'Junior'],Cornell University,Chris,M,Song,,,Chris Song,"[""2010-11 Men's Tennis Roster"" ""2011-12 Men's Tennis Roster""
 ""2012-13 Men's Tennis Roster""]"
Chris Vrabel, Cornell,Chris Vrabel,2017,4,https://cornellbigred.com/sports/mens-tennis/roster/chris-vrabel/43475,"Centerville, Va.",Thomas Jefferson HS for Science & Technology,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Chris,M,Vrabel,,,Chris Vrabel,"[""2013-14 Men's Tennis Roster"" ""2014-15 Men's Tennis Roster""
 ""2015-16 Men's Tennis Roster"" ""2016-17 Men's Tennis Roster""]"
Christopher Demtrak, Cornell,Christopher Demtrak,1959,2,,"Binghamton, NY",Central HS,['Sophomore' 'Junior'],Cornell University,Christopher,M,Demtrak,L.,,Christopher L. Demtrak,"[""1957-58 Men's Tennis Roster"" ""1958-59 Men's Tennis Roster""]"
Christopher Levine, Cornell,Christopher Levine,2020,1,https://cornellbigred.com/sports/mens-tennis/roster/christopher-levine/52737,"Santa Monica, Calif.",IMG Bollettieri Academy,['Senior'],Cornell University,Christopher,M,Levine,,,Christopher Levine,"[""2019-20 Men's Tennis Roster""]"
Clarence Holland, Cornell,Clarence Holland,1966,1,,"Allentown, Pa.",Allen HS,['Sophomore'],Cornell University,Clarence,M,Holland,,,Clarence  Holland,"[""1965-66 Men's Tennis Roster""]"
Clyde Barker, Cornell,Clyde Barker,1954,2,,"Salt Lake City, Utah.",Exeter,['Junior' 'Senior'],Cornell University,Clyde,M,Barker,F.,,Clyde F. Barker,"[""1952-53 Men's Tennis Roster"" ""1953-1954 Men's Tennis Roster""]"
Colin Tait, Cornell,Colin Tait,1953,2,,"Cresskill, NJ.",Tenafly HS,['Sophomore' 'Junior'],Cornell University,Colin,M,Tait,C.,,Colin C. Tait,"[""1951-52 Men's Tennis Roster"" ""1952-53 Men's Tennis Roster""]"
Colin Sinclair, Cornell,Colin Sinclair,2017,4,https://cornellbigred.com/sports/mens-tennis/roster/colin-sinclair/43473,"Brisbane, Australia",Anglican Church Grammar School,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Colin,M,Sinclair,,,Colin Sinclair,"[""2013-14 Men's Tennis Roster"" ""2014-15 Men's Tennis Roster""
 ""2015-16 Men's Tennis Roster"" ""2016-17 Men's Tennis Roster""]"
Conner Sherwood, Cornell,Conner Sherwood,2009,1,https://cornellbigred.com/sports/mens-tennis/roster/conner-sherwood/10727,"Greensboro, N.C.",Grimsley HS,['Freshman'],Cornell University,Conner,M,Sherwood,,,Conner Sherwood,"[""2008-09 Men's Tennis Roster""]"
Craig Finger, Cornell,Craig Finger,1966,2,,"Niagara Falls, NY",Niagara Falls HS,['Sophomore' 'Junior'],Cornell University,Craig,M,Finger,,,Craig Finger,"[""1964-65 Men's Tennis Roster"" ""1965-66 Men's Tennis Roster""]"
Craig Sommers, Cornell,Craig Sommers,1964,3,,"Princeton, NJ",Princeton HS,['Sophomore' 'Junior' 'Senior'],Cornell University,Craig,M,Sommers,T.,,Craig T. Sommers,"[""1961-62 Men's Tennis Roster"" ""1962-63 Men's Tennis Roster""
 ""1963-64 Men's Tennis Roster""]"
Craig Fanning, Cornell,Craig Fanning,1957,3,,"Riverside, Conn.",Deerfield A.,['Sophomore' 'Junior' 'Senior'],Cornell University,Craig,M,Fanning,W.,,Craig W. Fanning,"[""1954-55 Men's Tennis Roster"" ""1955-56 Men's Tennis Roster""
 ""1956-57 Men's Tennis Roster""]"
