Field4,Field7_Text,Field7_Link,Field1,Field8,Field9,Field11,Field2_Text,Field3_Text
,Lauren Frazier,https://cornellbigred.com/sports/womens-tennis/roster/lauren-frazier/34239,Junior,"Greenville, N.C.",Junius H. Rose HS,2013-14 Women's Tennis Roster,Lauren Frazier,
,Laila Judeh,https://cornellbigred.com/sports/womens-tennis/roster/laila-judeh/34240,Sophomore,"Potomac, Md.",Winston Churchill HS,2013-14 Women's Tennis Roster,Laila Judeh,
,Christy Kung,https://cornellbigred.com/sports/womens-tennis/roster/christy-kung/34241,Sophomore,"Pembroke Pines, Fla.",West Broward HS,2013-14 Women's Tennis Roster,Christy Kung,
,Kyja Kutnick,https://cornellbigred.com/sports/womens-tennis/roster/kyja-kutnick/35267,Freshman,"Redding, Conn.",Green Farms Academy,2013-14 Women's Tennis Roster,Kyja Kutnick,
,Courtney Malinchak,https://cornellbigred.com/sports/womens-tennis/roster/courtney-malinchak/34242,Junior,"Parkland, Fla.",Pine Crest HS,2013-14 Women's Tennis Roster,Courtney Malinchak,
,Kristin Quill,https://cornellbigred.com/sports/womens-tennis/roster/kristin-quill/36830,Freshman,"Nanuet, N.Y.",Nanuet HS,2013-14 Women's Tennis Roster,Kristin Quill,
,Dena Tanenbaum,https://cornellbigred.com/sports/womens-tennis/roster/dena-tanenbaum/34245,Sophomore,"Manasquan, N.J.",Red Bank Catholic,2013-14 Women's Tennis Roster,Dena Tanenbaum,
,Ryann Young,https://cornellbigred.com/sports/womens-tennis/roster/ryann-young/34246,Senior,"Northbrook, Ill.","St. Stephen's Episcopal School (Austin, Texas)",2013-14 Women's Tennis Roster,Ryann Young,
,Lauren Frazier,https://cornellbigred.com/sports/womens-tennis/roster/lauren-frazier/31343,Sophomore,"Greenville, N.C.",Junius H. Rose HS,2012-13 Women's Tennis Roster,Lauren Frazier,
,Laila Judeh,https://cornellbigred.com/sports/womens-tennis/roster/laila-judeh/31720,Freshman,"Potomac, Md.",Winston Churchill HS,2012-13 Women's Tennis Roster,Laila Judeh,
,Kirsten Kohagen,https://cornellbigred.com/sports/womens-tennis/roster/kirsten-kohagen/31344,Senior,"Raleigh, N.C.",Cary Academy,2012-13 Women's Tennis Roster,Kirsten Kohagen,
,Christy Kung,https://cornellbigred.com/sports/womens-tennis/roster/christy-kung/31722,Freshman,"Pembroke Pines, Fla.",West Broward HS,2012-13 Women's Tennis Roster,Christy Kung,
,Courtney Malinchak,https://cornellbigred.com/sports/womens-tennis/roster/courtney-malinchak/31346,Sophomore,"Parkland, Fla.",Pine Crest HS,2012-13 Women's Tennis Roster,Courtney Malinchak,
,Sarah O'Neil,https://cornellbigred.com/sports/womens-tennis/roster/sarah-o-neil/31347,Senior,"Lynnfield, Mass.",Lynnfield High School,2012-13 Women's Tennis Roster,Sarah O'Neil,
