FirstLast,Year,YearsPlayed,Gender,fuzz_ratio,fuzz_pratio,fuzz_tokensort,fuzz_tokenset,fuzz_wratio,tennis_yn,School_yn,SameName_yn,SameTennis_yn,Decade,prediction
Philip NESS,1958.0,1.0,1,40.0,45.0,48.0,48.0,48.0,0.0,0.0,0.0,0.0,1950.0,0.0
Edward BENNETT,1958.0,2.0,1,46.0,57.0,82.0,100.0,86.0,0.0,0.0,0.0,0.0,1950.0,0.0
Edward PRINCE,1959.0,3.0,1,62.0,62.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1950.0,0.0
Peter COX,1959.0,1.0,1,55.0,67.0,45.0,71.0,67.0,0.0,0.0,0.0,0.0,1950.0,0.0
John OETTINGER,1959.0,1.0,1,13.0,14.0,27.0,27.0,27.0,0.0,0.0,0.0,0.0,1950.0,0.0
Jonathan CLARK,1959.0,3.0,1,67.0,71.0,53.0,73.0,73.0,0.0,0.0,0.0,0.0,1950.0,0.0
Maitland JONES,1959.0,1.0,1,22.0,21.0,29.0,29.0,32.0,0.0,0.0,0.0,0.0,1950.0,0.0
Robert LAIRD,1959.0,1.0,1,34.0,33.0,36.0,59.0,56.0,0.0,0.0,0.0,0.0,1950.0,0.0
Alexander WIENER,1959.0,3.0,1,41.0,56.0,54.0,54.0,56.0,0.0,0.0,0.0,0.0,1950.0,0.0
Thomas FREIBERG,1959.0,3.0,1,14.0,14.0,36.0,36.0,34.0,0.0,0.0,0.0,0.0,1950.0,0.0
Richard WALLACE,1960.0,3.0,1,55.0,60.0,94.0,100.0,95.0,0.0,0.0,0.0,0.0,1960.0,0.0
Donald DELL,1960.0,3.0,1,27.0,27.0,27.0,27.0,27.0,0.0,0.0,0.0,0.0,1960.0,0.0
Samuel HOWE,1960.0,3.0,1,13.0,18.0,34.0,34.0,40.0,0.0,0.0,0.0,0.0,1960.0,0.0
G. Whitney BIGGS,1960.0,3.0,1,21.0,25.0,22.0,22.0,36.0,0.0,0.0,0.0,0.0,1960.0,0.0
Gifford HOPKINS,1960.0,1.0,1,13.0,13.0,26.0,26.0,26.0,0.0,0.0,0.0,0.0,1960.0,0.0
Eugene SCOTT,1960.0,3.0,1,50.0,67.0,75.0,100.0,90.0,0.0,0.0,0.0,0.0,1960.0,1.0
James ERVIN,1960.0,1.0,1,18.0,18.0,27.0,27.0,45.0,0.0,0.0,0.0,0.0,1960.0,0.0
Samuel HEYMAN,1960.0,1.0,1,48.0,54.0,61.0,63.0,86.0,0.0,0.0,0.0,0.0,1960.0,0.0
Theodore JOYNER,1961.0,2.0,1,13.0,20.0,33.0,33.0,30.0,0.0,0.0,0.0,0.0,1960.0,0.0
Philip SPALDING,1961.0,1.0,1,53.0,53.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1960.0,0.0
John GUNNIN,1961.0,1.0,1,24.0,29.0,32.0,32.0,48.0,0.0,0.0,0.0,0.0,1960.0,0.0
Steven ANDERSON,1961.0,2.0,1,44.0,47.0,80.0,80.0,78.0,0.0,0.0,0.0,0.0,1960.0,0.0
Robert KILLEBREW,1961.0,1.0,1,28.0,31.0,62.0,83.0,83.0,1.0,0.0,0.0,1.0,1960.0,1.0
Neal ORMOND,1962.0,1.0,1,17.0,18.0,33.0,33.0,33.0,0.0,0.0,0.0,0.0,1960.0,0.0
Sidney WOOD,1962.0,1.0,1,18.0,18.0,36.0,36.0,34.0,0.0,0.0,0.0,0.0,1960.0,0.0
Tristam BROOKS,1962.0,3.0,1,17.0,36.0,30.0,30.0,37.0,0.0,0.0,0.0,0.0,1960.0,0.0
Carroll PARRY,1963.0,3.0,1,8.0,8.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,1960.0,0.0
Michael NEELY,1963.0,3.0,1,62.0,69.0,62.0,70.0,66.0,0.0,0.0,0.0,0.0,1960.0,0.0
Charles FRANK,1963.0,3.0,1,30.0,38.0,32.0,32.0,34.0,0.0,0.0,0.0,0.0,1960.0,0.0
Arthur GRIFFITH,1963.0,1.0,1,19.0,20.0,52.0,71.0,71.0,0.0,0.0,0.0,0.0,1960.0,0.0
Robert HETHERINGTON,1963.0,3.0,1,19.0,15.0,38.0,38.0,38.0,0.0,0.0,0.0,0.0,1960.0,0.0
Steven MacKINNON,1963.0,3.0,1,55.0,56.0,91.0,91.0,91.0,0.0,0.0,0.0,0.0,1960.0,0.0
Ralph HOWE,1963.0,3.0,1,70.0,70.0,100.0,100.0,100.0,1.0,0.0,0.0,1.0,1960.0,1.0
Robert ARCHER,1964.0,3.0,1,45.0,54.0,52.0,63.0,60.0,0.0,0.0,0.0,0.0,1960.0,0.0
David BROOKS,1964.0,2.0,1,58.0,58.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1960.0,0.0
William TAYLOR,1964.0,1.0,1,64.0,64.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1960.0,0.0
William REYNOLDS,1964.0,2.0,1,56.0,56.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1960.0,0.0
William MORSE,1964.0,2.0,1,69.0,69.0,100.0,100.0,100.0,1.0,0.0,0.0,1.0,1960.0,1.0
Dennis LYNCH,1964.0,3.0,1,58.0,58.0,50.0,67.0,64.0,0.0,0.0,0.0,0.0,1960.0,0.0
Donald CHRISTIANSON,1964.0,1.0,1,12.0,21.0,38.0,38.0,42.0,0.0,0.0,0.0,0.0,1960.0,0.0
Robert DUNLOP,1965.0,3.0,1,21.0,23.0,29.0,29.0,36.0,0.0,0.0,0.0,0.0,1960.0,0.0
Peter APPLETON,1965.0,2.0,1,18.0,25.0,36.0,36.0,43.0,0.0,0.0,0.0,0.0,1960.0,0.0
Christopher KINNEY,1965.0,2.0,1,44.0,67.0,44.0,44.0,60.0,0.0,0.0,0.0,0.0,1960.0,0.0
Kent NELSON,1965.0,2.0,1,55.0,55.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1960.0,0.0
Hamlet BARRY,1966.0,2.0,1,23.0,25.0,62.0,62.0,59.0,0.0,0.0,0.0,0.0,1960.0,0.0
William TUCKER,1966.0,1.0,1,21.0,21.0,57.0,60.0,57.0,0.0,0.0,0.0,0.0,1960.0,0.0
John WESTCOTT,1966.0,3.0,1,46.0,46.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1960.0,0.0
Jerome GLENN,1967.0,1.0,1,55.0,58.0,55.0,67.0,64.0,0.0,0.0,0.0,0.0,1960.0,0.0
Michael BROOKS,1967.0,3.0,1,64.0,64.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1960.0,0.0
Richard FATES,1967.0,3.0,1,64.0,69.0,93.0,100.0,95.0,0.0,0.0,0.0,0.0,1960.0,0.0
Jack WALTZ,1967.0,3.0,1,10.0,10.0,20.0,20.0,30.0,0.0,0.0,0.0,0.0,1960.0,0.0
J. Michael LADD,1967.0,1.0,1,15.0,17.0,23.0,23.0,22.0,0.0,0.0,0.0,0.0,1960.0,0.0
William KEETON,1968.0,3.0,1,64.0,64.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1960.0,0.0
John ANDERSON,1968.0,3.0,1,46.0,46.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1960.0,0.0
Robert HAAR,1968.0,3.0,1,73.0,73.0,100.0,100.0,100.0,1.0,0.0,0.0,1.0,1960.0,1.0
Robert McCALLUM,1968.0,3.0,1,55.0,57.0,55.0,60.0,57.0,0.0,0.0,0.0,0.0,1960.0,0.0
Henry ROSEN,1968.0,1.0,1,64.0,64.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1960.0,0.0
Michael MUELLER,1969.0,2.0,1,60.0,60.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1960.0,0.0
Jerome GARY,1969.0,2.0,1,22.0,18.0,54.0,54.0,51.0,0.0,0.0,0.0,0.0,1960.0,0.0
Paul HENRY,1969.0,1.0,1,60.0,60.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1960.0,0.0
Frederick LONDON,1969.0,2.0,1,59.0,62.0,61.0,72.0,68.0,0.0,0.0,0.0,0.0,1960.0,0.0
David KETNER,1969.0,1.0,1,46.0,50.0,38.0,59.0,56.0,0.0,0.0,0.0,0.0,1960.0,0.0
Marshall TAYLOR,1969.0,1.0,1,22.0,25.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,1960.0,0.0
Alexander TAN,1969.0,1.0,1,57.0,75.0,76.0,76.0,86.0,0.0,0.0,0.0,0.0,1960.0,0.0
Mark KAPLANOFF,1970.0,2.0,1,25.0,10.0,17.0,17.0,25.0,0.0,0.0,0.0,0.0,1970.0,0.0
Ronald NETTER,1970.0,2.0,1,23.0,24.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,1970.0,0.0
Wick CHAMBERS,1971.0,2.0,1,41.0,46.0,93.0,100.0,95.0,1.0,0.0,0.0,1.0,1970.0,1.0
James HARVIE,1971.0,1.0,1,58.0,58.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1970.0,0.0
Scott OSBORNE,1971.0,2.0,1,54.0,54.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1970.0,1.0
Brian MITCHELL,1972.0,3.0,1,50.0,50.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1970.0,1.0
Peter LAWLER,1972.0,2.0,1,58.0,58.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1970.0,1.0
William CLEVELAND,1972.0,3.0,1,53.0,53.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1970.0,1.0
Neil ALLEN,1972.0,3.0,1,46.0,60.0,69.0,69.0,86.0,0.0,0.0,0.0,0.0,1970.0,0.0
Hayden KIRK,1973.0,1.0,1,52.0,55.0,52.0,71.0,67.0,0.0,0.0,0.0,0.0,1970.0,0.0
Philip ST. GEORGES,1973.0,2.0,1,53.0,56.0,56.0,57.0,65.0,0.0,0.0,0.0,0.0,1970.0,0.0
Henry ANDERSON,1973.0,3.0,1,41.0,50.0,76.0,100.0,86.0,0.0,0.0,0.0,0.0,1970.0,0.0
William GAINES,1973.0,3.0,1,64.0,64.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1970.0,0.0
Kevin BRADLEY,1974.0,1.0,1,54.0,54.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1970.0,0.0
Daniel GROSSMAN,1974.0,3.0,1,53.0,53.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1970.0,1.0
Jeffrey WILDAY,1974.0,2.0,1,48.0,55.0,88.0,88.0,88.0,1.0,0.0,0.0,1.0,1970.0,1.0
William BANNER,1974.0,1.0,1,18.0,25.0,27.0,27.0,45.0,0.0,0.0,0.0,0.0,1970.0,0.0
Thomas CUNNINGHAM,1974.0,1.0,1,47.0,47.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1970.0,0.0
